rank,title,artist,genre
1,Ordinary,Alex Warren,unknown
2,Daisies,Justin Bieber,unknown
3,What I Want,Morgan Wallen Featuring Tate McRae,unknown
4,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",unknown
5,Just In Case,Morgan Wallen,unknown
6,A Bar Song (Tipsy),Shaboozey,country
7,Love Me Not,Ravyn Lenae,unknown
8,What Did I Miss?,Drake,unknown
9,Lose Control,Teddy Swims,unknown
10,Die With A Smile,Lady Gaga & Bruno Mars,unknown
11,Luther,Kendrick Lamar & SZA,unknown
12,I'm The Problem,Morgan Wallen,unknown
13,Manchild,Sabrina Carpenter,unknown
14,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",unknown
15,Pink Pony Club,Chappell Roan,unknown
16,Beautiful Things,Benson Boone,unknown
17,Yukon,Justin Bieber,unknown
18,Go Baby,Justin Bieber,unknown
19,I Had Some Help,Post Malone Featuring Morgan Wallen,unknown
20,Mutt,Leon Thomas,unknown
21,All I Can Take,Justin Bieber,unknown
22,Birds Of A Feather,Billie Eilish,unknown
23,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",unknown
24,Good News,Shaboozey,country
25,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",unknown
26,Mystical Magical,Benson Boone,unknown
27,I Got Better,Morgan Wallen,unknown
28,Jump,BLACKPINK,unknown
29,All The Way,BigXthaPlug Featuring Bailey Zimmerman,country
30,Sorry I'm Here For Someone Else,Benson Boone,unknown
31,Nokia,Drake,unknown
32,Blue Strips,Jessie Murph,unknown
33,Way It Is,Justin Bieber & Gunna,unknown
34,Undressed,sombr,unknown
35,Things You Do,Justin Bieber,unknown
36,Worst Way,Riley Green,country
37,Walking Away,Justin Bieber,unknown
38,Back To Friends,sombr,unknown
39,Anxiety,Doechii,pop
40,APT.,ROSE & Bruno Mars,unknown
41,Free,"Rumi, JINU, EJAE & Andrew Choi",pop
42,Chains & Whips,Clipse Featuring Kendrick Lamar,unknown
43,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",unknown
44,Backup Plan,Bailey Zimmerman & Luke Combs,rock
45,Weren't For The Wind,Ella Langley,unknown
46,30 For 30,SZA With Kendrick Lamar,unknown
47,Burning Blue,Mariah The Scientist,unknown
48,Love Somebody,Morgan Wallen,unknown
49,Butterflies,Justin Bieber,unknown
50,Kick Out,Travis Scott,unknown
51,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",unknown
52,After All The Bars Are Closed,Thomas Rhett,country
53,Champain & Vacay,Travis Scott & Don Toliver,unknown
54,Dumbo,Travis Scott,unknown
55,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",unknown
56,Devotion,Justin Bieber & Dijon,unknown
57,Sweet Spot,Justin Bieber & Sexyy Red,pop
58,6 Months Later,Megan Moroney,unknown
59,First Place,Justin Bieber,unknown
60,20 Cigarettes,Morgan Wallen,unknown
61,Outside,Cardi B,unknown
62,So Be It,Clipse,unknown
63,Just Keep Watching,Tate McRae,unknown
64,Happen To Me,Russell Dickerson,unknown
65,P.O.V.,"Clipse Featuring Tyler, The Creator",unknown
66,Wildflower,Billie Eilish,unknown
67,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,country
68,In Your Fantasy,ATEEZ,unknown
69,Amen,Shaboozey & Jelly Roll,unknown
70,Swag,"Justin Bieber, Cash Cobain & Eddie Benjamin",unknown
71,Superman,Morgan Wallen,unknown
72,2000 Excursion,"Travis Scott, Sheck Wes & Don Toliver",unknown
73,Indigo,Sam Barber Featuring Avery Anna,country
74,Where Was You,"Travis Scott, Playboi Carti & Future",hip hop
75,River Washed Hair,Zach Bryan,unknown
76,Bloodline,Alex Warren With Jelly Roll,country
77,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish,rock
78,Ace Trumpets,Clipse,unknown
79,Too Long,Justin Bieber,unknown
80,Fix What You Didn't Break,Nate Smith,unknown
81,Single Again,Josh Ross,country
82,House Again,Hudson Westbrook,country
83,Glory Voice Memo,Justin Bieber,unknown
84,Dadz Love,Justin Bieber & Lil B,unknown
85,Folded,Kehlani,unknown
86,405,Justin Bieber,unknown
87,Your Way's Better,Forrest Frank,unknown
88,Hard Fought Hallelujah,Brandon Lake X Jelly Roll,unknown
89,Whim Whamiee,PLUTO & YKNIECE,unknown
90,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",unknown
91,TN,Morgan Wallen,unknown
92,The Birds Don't Sing,Clipse Featuring John Legend & Voices Of Fire,unknown
93,Shyne,Travis Scott & GloRilla,unknown
94,Party 4 U,Charli xcx,unknown
95,M.T.B.T.T.F.,Clipse,unknown
96,Nuevayol,Bad Bunny,unknown
97,EOO,Bad Bunny,unknown
98,Twilight Zone,Ariana Grande,pop
99,Rather Lie,Playboi Carti & The Weeknd,unknown
100,Marlboro Rojo,Fuerza Regida,unknown
